????,?????????????????,????????????,?????????????????,????????????????
12190,FALSE,FALSE,FALSE,FALSE
11665,FALSE,FALSE,FALSE,FALSE
7333,FALSE,FALSE,FALSE,FALSE
12129,FALSE,FALSE,FALSE,FALSE
12229,FALSE,FALSE,FALSE,FALSE
9841,FALSE,FALSE,FALSE,FALSE
12322,FALSE,FALSE,FALSE,FALSE
11886,FALSE,FALSE,FALSE,FALSE
11477,FALSE,FALSE,FALSE,FALSE
12036,FALSE,FALSE,FALSE,FALSE
12632,FALSE,FALSE,FALSE,FALSE
9701,FALSE,FALSE,FALSE,FALSE
10219,FALSE,FALSE,FALSE,FALSE
12421,FALSE,FALSE,FALSE,FALSE
12376,FALSE,FALSE,FALSE,FALSE
11959,FALSE,FALSE,FALSE,FALSE
12194,FALSE,FALSE,FALSE,FALSE
12404,FALSE,FALSE,FALSE,FALSE
10016,FALSE,FALSE,FALSE,FALSE
11608,FALSE,FALSE,FALSE,FALSE
12470,FALSE,FALSE,FALSE,FALSE
11252,FALSE,FALSE,FALSE,FALSE
12176,FALSE,FALSE,FALSE,FALSE
10821,FALSE,FALSE,FALSE,FALSE
12540,FALSE,FALSE,FALSE,FALSE
11031,FALSE,FALSE,FALSE,FALSE
12412,FALSE,FALSE,FALSE,FALSE
12202,FALSE,FALSE,FALSE,FALSE
12261,FALSE,FALSE,FALSE,FALSE
12319,FALSE,FALSE,FALSE,FALSE
12349,FALSE,FALSE,FALSE,FALSE
12405,FALSE,FALSE,FALSE,FALSE
4343,FALSE,FALSE,FALSE,FALSE
11011,FALSE,FALSE,FALSE,FALSE
9707,FALSE,FALSE,FALSE,FALSE
9987,FALSE,FALSE,FALSE,FALSE
3978,FALSE,FALSE,FALSE,FALSE
9120,FALSE,FALSE,FALSE,FALSE
12012,FALSE,FALSE,FALSE,FALSE
12593,FALSE,FALSE,FALSE,FALSE
12346,FALSE,FALSE,FALSE,FALSE
8059,FALSE,FALSE,FALSE,FALSE
5094,FALSE,FALSE,FALSE,FALSE
12580,FALSE,FALSE,FALSE,FALSE
12355,FALSE,FALSE,FALSE,FALSE
12395,FALSE,FALSE,FALSE,FALSE
12396,FALSE,FALSE,FALSE,FALSE
12401,FALSE,FALSE,FALSE,FALSE
12468,FALSE,FALSE,FALSE,FALSE
12510,FALSE,FALSE,FALSE,FALSE
10782,FALSE,FALSE,FALSE,FALSE
12554,FALSE,FALSE,FALSE,FALSE
9311,FALSE,FALSE,FALSE,FALSE
8729,FALSE,FALSE,FALSE,FALSE
4733,FALSE,FALSE,FALSE,FALSE
12507,FALSE,FALSE,FALSE,FALSE
12276,FALSE,FALSE,FALSE,FALSE
12291,FALSE,FALSE,FALSE,FALSE
12274,FALSE,FALSE,FALSE,FALSE
12289,FALSE,FALSE,FALSE,FALSE
12317,FALSE,FALSE,FALSE,FALSE
12435,FALSE,FALSE,FALSE,FALSE
12436,FALSE,FALSE,FALSE,FALSE
12460,FALSE,FALSE,FALSE,FALSE
12458,FALSE,FALSE,FALSE,FALSE
12473,FALSE,FALSE,FALSE,FALSE
12539,FALSE,FALSE,FALSE,FALSE
12271,FALSE,FALSE,FALSE,FALSE
12281,FALSE,FALSE,FALSE,FALSE
12292,FALSE,FALSE,FALSE,FALSE
12315,FALSE,FALSE,FALSE,FALSE
12314,FALSE,FALSE,FALSE,FALSE
12365,FALSE,FALSE,FALSE,FALSE
12408,FALSE,FALSE,FALSE,FALSE
12409,FALSE,FALSE,FALSE,FALSE
12430,FALSE,FALSE,FALSE,FALSE
12279,FALSE,FALSE,FALSE,FALSE
12425,FALSE,FALSE,FALSE,FALSE
12446,FALSE,FALSE,FALSE,FALSE
12476,FALSE,FALSE,FALSE,FALSE
12377,FALSE,FALSE,FALSE,FALSE
12380,FALSE,FALSE,FALSE,FALSE
12537,FALSE,FALSE,FALSE,FALSE
12538,FALSE,FALSE,FALSE,FALSE
12621,FALSE,FALSE,FALSE,FALSE
6084,FALSE,FALSE,FALSE,FALSE
9916,FALSE,FALSE,FALSE,FALSE
9313,FALSE,FALSE,FALSE,FALSE
5062,FALSE,FALSE,FALSE,FALSE
12216,FALSE,FALSE,FALSE,FALSE
11958,FALSE,FALSE,FALSE,FALSE
12613,FALSE,FALSE,FALSE,FALSE
12306,FALSE,FALSE,FALSE,FALSE
9121,FALSE,FALSE,FALSE,FALSE
8137,FALSE,FALSE,FALSE,FALSE
10915,FALSE,FALSE,FALSE,FALSE
2275,FALSE,FALSE,FALSE,FALSE
9723,FALSE,FALSE,FALSE,FALSE
6724,FALSE,FALSE,FALSE,FALSE
342,FALSE,FALSE,FALSE,FALSE
1060,FALSE,FALSE,FALSE,FALSE
250,FALSE,FALSE,FALSE,FALSE
412,FALSE,FALSE,FALSE,FALSE
732,FALSE,FALSE,FALSE,FALSE
1771,FALSE,FALSE,FALSE,FALSE
9475,FALSE,FALSE,FALSE,FALSE
3769,FALSE,FALSE,FALSE,FALSE
7385,FALSE,FALSE,FALSE,FALSE
9764,FALSE,FALSE,FALSE,FALSE
11045,FALSE,FALSE,FALSE,FALSE
11215,FALSE,FALSE,FALSE,FALSE
11426,FALSE,FALSE,FALSE,FALSE
11469,FALSE,FALSE,FALSE,FALSE
11687,FALSE,FALSE,FALSE,FALSE
12065,FALSE,FALSE,FALSE,FALSE
11969,FALSE,FALSE,FALSE,FALSE
12066,FALSE,FALSE,FALSE,FALSE
12337,FALSE,FALSE,FALSE,FALSE
12339,FALSE,FALSE,FALSE,FALSE
12481,FALSE,FALSE,FALSE,FALSE
12480,FALSE,FALSE,FALSE,FALSE
